ts_utc,run_id,phase,endpoint_label,endpoint_host,latency_ms,success,ldap_rc
2026-02-12T11:02:09Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:02:10Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,393,1,0
2026-02-12T11:02:11Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,340,1,0
2026-02-12T11:02:11Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,340,1,0
2026-02-12T11:02:11Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,393,1,0
2026-02-12T11:02:12Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,356,1,0
2026-02-12T11:02:12Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:02:12Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:02:14Z,20260212T105929Z,phase4,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,366,1,0
2026-02-12T11:02:14Z,20260212T105929Z,phase4,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,362,1,0
2026-02-12T11:02:14Z,20260212T105929Z,phase4,ga,aa99eb27c555144df.awsglobalaccelerator.com,386,1,0
2026-02-12T11:02:47Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,353,1,0
2026-02-12T11:02:47Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,369,1,0
2026-02-12T11:02:47Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T11:02:48Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,349,1,0
2026-02-12T11:02:48Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,353,1,0
2026-02-12T11:02:48Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,392,1,0
2026-02-12T11:02:49Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,338,1,0
2026-02-12T11:02:49Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,354,1,0
2026-02-12T11:02:50Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T11:02:51Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,341,1,0
2026-02-12T11:02:51Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,371,1,0
2026-02-12T11:02:51Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,386,1,0
2026-02-12T11:02:52Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:02:52Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,345,1,0
2026-02-12T11:02:52Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,389,1,0
2026-02-12T11:02:54Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,359,1,0
2026-02-12T11:02:54Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,366,1,0
2026-02-12T11:02:54Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:02:55Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,354,1,0
2026-02-12T11:02:55Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,361,1,0
2026-02-12T11:02:55Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,397,1,0
2026-02-12T11:02:56Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,350,1,0
2026-02-12T11:02:56Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,348,1,0
2026-02-12T11:02:57Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,396,1,0
2026-02-12T11:02:58Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,339,1,0
2026-02-12T11:02:58Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,347,1,0
2026-02-12T11:02:58Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:02:59Z,20260212T105929Z,phase5,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,372,1,0
2026-02-12T11:02:59Z,20260212T105929Z,phase5,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,359,1,0
2026-02-12T11:03:00Z,20260212T105929Z,phase5,ga,aa99eb27c555144df.awsglobalaccelerator.com,400,1,0
